email_preview,score,grade,tone,politeness,pa,sarcasm,urgency,risk_count
"Jeff, I need to see the site plan for Burnet. Remember I must get written approv",90,Excellent,professional,polite,neutral,neutral,high,0
"Lucy, I want to have an accurate rent roll as soon as possible. I faxed you a co",90,Excellent,professional,polite,neutral,neutral,high,0
"Brenda, I checked my records and I mailed check #1178 for the normal amount on A",100,Excellent,professional,polite,neutral,neutral,medium,0
"Lucy, You wrote fewer checks this month. Spent more money on Materials and less ",94,Excellent,professional,polite,neutral,neutral,high,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/12/2000 11:22 ,100,Excellent,professional,polite,neutral,neutral,low,0
http://www.hearme.com/vc2/?chnlOwnr=pallen@enron.com,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/02/2001 05:26 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/11/2000 04:57 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Jeff, I received the rent roll. I am going to be in San Marcos this weekend but ",100,Excellent,professional,polite,neutral,neutral,medium,0
"9/8 9/7 diff Socal 36,600 37,200 -600 NWPL -51,000 -51,250 250 San Juan -32,500 ",100,Excellent,professional,polite,neutral,neutral,low,0
why is aeco basis so low on the list? Is NWPL mapped differently than AECO? What,100,Excellent,professional,polite,neutral,neutral,low,0
"Jeff, You would clearly receive a commission on a deal on the sagewood. I am sur",80,Acceptable,professional,polite,passive_aggressive,neutral,low,1
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/08/2000 12:29 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/08/2000 12:28 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/06/2000 03:53 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/06/2000 02:01 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Larry, Just a note to touch base on the sagewood townhomes and other development",85,Excellent,professional,polite,passive_aggressive,neutral,high,1
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/01/2001 02:14 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Ina, I scheduled a meeting with Jean Mrha tomorrow at 3:30",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/06/2000 10:49 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Ina, Can you pull Tori K.'s and Martin Cuilla's resumes and past performance rev",75,Acceptable,professional,impolite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/05/2000 01:50 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/05/2000 01:29 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/01/2000 01:07 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Richard, Compare your california production to the numbers in the 2000 Californi",100,Excellent,professional,polite,neutral,neutral,low,0
"Cooper, Can you give access to the new west power site to Jay Reitmeyer. He is a",75,Acceptable,professional,impolite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 08/31/2000 01:13 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/01/2001 02:14 ,100,Excellent,professional,polite,neutral,neutral,low,0
John Lavorato-M Mike Grigsby-D Keith Holst-D Frank Ermis-D Steve South-D Janie T,75,Acceptable,professional,impolite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 08/31/2000 10:17 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Greg, Got your message. Good luck on the bike ride. What were you doing to your ",100,Excellent,professional,polite,neutral,neutral,low,0
"Mark, Here is a spreadsheet detailing our September Socal trades. (I did not dis",75,Acceptable,professional,impolite,neutral,neutral,low,0
"Mark, Were you able to log in to enron online and find socal today? I will follo",100,Excellent,professional,polite,neutral,neutral,medium,0
Brenda Can you send me your address in College Station. Phillip,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 08/28/2000 01:39 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Mark, The following is a guest password that will allow you temporary view only ",100,Excellent,professional,polite,neutral,neutral,low,0
"Mark, Attached is a spreadsheet that lists the end of day midmarkets for socal b",93,Excellent,professional,polite,neutral,neutral,high,0
"Alan, You should have received updated numbers from Keith Holst. Call me if you ",100,Excellent,professional,polite,neutral,neutral,low,0
"Suzanne, Can you give me more details or email the plan prior to meeting? What d",100,Excellent,professional,polite,neutral,neutral,medium,0
"Colleen, Please add Mike Grigsby to the distribution. On another note, do you ha",100,Excellent,professional,polite,neutral,neutral,low,0
"Brad, With regard to Tori Kuykendall, I would like to promote her to commercial ",100,Excellent,professional,polite,neutral,neutral,low,0
"Bruce, Can you stop by and set up my reuters. Phillip",100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, The rent roll spreadsheet is starting to look better. See if you can add t",100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, I got your email with the attachment. Let's work together today to get thi",100,Excellent,professional,polite,neutral,neutral,medium,0
"Lucy, We can discuss your email later. How is progress on creating the spreadshe",100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, Please open this excel file and input the rents and names due for this wee",100,Excellent,professional,polite,neutral,neutral,medium,0
"Open the ""utility"" spreadsheet and try to complete the analysis of whether it is",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/30/2001 11:21 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Mac, Thanks for the research report on EOG. Here are my observations: Gas Sales ",94,Excellent,professional,polite,neutral,neutral,high,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 08/20/2000 05:39 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 08/20/2000 05:38 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 08/20/2000 05:38 ,100,Excellent,professional,polite,neutral,neutral,low,0
"I checked into exercising options with Smith Barney, but Enron has some kind of ",100,Excellent,professional,polite,neutral,neutral,low,0
"I tried the new address but I don't have access. also, what do I need to enter u",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 08/16/2000 10:58 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Cooper, This is the website I use: http://ectpdx-sunone/~ctatham/navsetup/index.",100,Excellent,professional,polite,neutral,neutral,low,0
"Cooper, Did you add some more security to the expost hourly summary? It keeps as",100,Excellent,professional,polite,neutral,neutral,low,0
"Stephanie Please grant Paul the requested eol rights Thanks, Phillip",78,Acceptable,professional,impolite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/30/2001 10:36 ,100,Excellent,professional,polite,neutral,neutral,low,0
Cash Hehub Chicago PEPL Katy Socal Opal Permian Gas Daily Hehub Chicago PEPL Kat,75,Acceptable,professional,impolite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 08/09/2000 02:11 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Colleen, I am out ot the office on Friday, but Keith Holst will attend. He has b",100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, Now that #44 is rented and you have settled in for a couple of months, we ",94,Excellent,professional,polite,neutral,neutral,high,0
"Ina, How many times do you think Jeff wants to get this message. Please help Phi",100,Excellent,professional,polite,neutral,neutral,low,0
"Ina, I keep getting these security requests that I cannot approve. Please take c",100,Excellent,professional,polite,neutral,neutral,low,0
What are your skills? Why do you want to be on a trading desk?,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 08/07/2000 12:42 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, I didn't get a fax with the July bank statement on Friday. Can you refax i",75,Acceptable,professional,impolite,neutral,neutral,low,0
Outlook Migration Team@ENRON 05/11/2001 01:49 PM cc: Current Notes User: To ensu,100,Excellent,professional,polite,neutral,neutral,low,0
Send to Karen Buckley. Trading track interview to be conducted in May.,75,Acceptable,professional,impolite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 08/07/2000 07:05 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Hunter, Are you watching Alberto? Do you have Yahoo Messenger or Hear Me turned ",100,Excellent,professional,polite,neutral,neutral,low,0
can you build something to look at historical prices from where we saved curves ,100,Excellent,professional,polite,neutral,neutral,low,0
"John, The only long term deal in the west that you could put prudency against is",100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, I will call you this afternoon to discuss the things in your email. Philli",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 07/26/2000 10:49 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 07/26/2000 10:44 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Wade, I understood your number one priority was to deal with your vehicle situat",100,Excellent,professional,polite,neutral,neutral,medium,0
the merlin ct. address is still good. I don't know why the mailing would be retu,100,Excellent,professional,polite,neutral,neutral,low,0
"Tim, Can you authorize access to the west power site for Keith Holtz. He is our ",94,Excellent,professional,polite,neutral,neutral,high,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 07/19/2000 10:39 ,100,Excellent,professional,polite,neutral,neutral,low,0
fyi CIG ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 07/17/200,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 07/14/2000 02:00 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Kay, I will be down that weekend, but I am not sure about the rest of the family",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 07/13/2000 10:24 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 07/12/2000 02:18 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 07/11/2000 04:59 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 07/11/2000 04:23 ,100,Excellent,professional,polite,neutral,neutral,low,0
I would look at properties in San Antonio or Dallas.,100,Excellent,professional,polite,neutral,neutral,low,0
"Celeste, I need two assoc./analyst for the west gas trading desk. Can you help? ",100,Excellent,professional,polite,neutral,neutral,low,0
How about Tuesday at 11:15 in front of the building?,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 07/11/2000 06:12 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 07/10/2000 04:40 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Ina, Please sign me up for this course whenever Hunter is signed up. Thanks",100,Excellent,professional,polite,neutral,neutral,low,0
"Al, I am not in good enough shape to ride a century right now. Plus I'm nursing ",84,Acceptable,frustrated,polite,neutral,neutral,high,1
"Brenda, The word document attached is a notice/consent form for the sale. The ex",100,Excellent,professional,polite,neutral,neutral,low,0
"Jeff, I have spoken to Brenda and everything looks good. Matt Lutz was supposed ",100,Excellent,professional,polite,neutral,neutral,low,0
"Gary, I have also been speaking to Johnnie Brown in San Antonio to be the genera",95,Excellent,professional,polite,neutral,neutral,high,0
"Tim, Matt sent you a email with his attempt to organize some of the cems and wsc",100,Excellent,professional,polite,neutral,neutral,low,0
What are my choices for dates? ---------------------- Forwarded by Phillip K All,100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, I got your email. I didn't have time to finish it. I will read it this wee",100,Excellent,professional,polite,neutral,neutral,medium,0
What is GIS info? Can you do this? ---------------------- Forwarded by Phillip K,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 06/27/2000 04:39 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 06/27/2000 12:32 ,100,Excellent,professional,polite,neutral,neutral,low,0
is your voice healed or are you going to use a real time messenger?,100,Excellent,professional,polite,neutral,neutral,low,0
"Ray, Is there any detail on the gas cost proxy. Which delivery points from which",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 06/26/2000 01:57 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 06/23/2000 11:45 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Scott, I emailed your question to a friend that works for the new company. I thi",96,Excellent,professional,polite,neutral,neutral,high,0
"Lucy, I want to speak to Wade myself. He can call me at work or home. Or if you ",100,Excellent,professional,polite,neutral,neutral,medium,0
http://ectpdx-sunone.ect.enron.com/~theizen/wsccnav/,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 06/12/2000 10:55 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 06/06/2000 12:27 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 06/06/2000 12:26 ,100,Excellent,professional,polite,neutral,neutral,low,0
http://ecthou-webcl1.nt.ect.enron.com/gas/ All the gas reports are under west de,90,Excellent,professional,polite,neutral,sarcastic,low,0
"Ned, Regarding the Waha storage, the west desk does not have a strong need for t",95,Excellent,professional,polite,neutral,neutral,high,0
"Felix, Network: login pallen pw ke7davis Notes: pw synergi My location is 3210B.",100,Excellent,professional,polite,neutral,neutral,low,0
"Lucy, Click on this attachment to see the format to record expenses. You can kee",100,Excellent,professional,polite,neutral,neutral,low,0
"Jeff, I will respond to the offer on Monday. There is a $35 Million expansion ad",100,Excellent,professional,polite,neutral,neutral,medium,0
"Al, I was glad to hear from you. I hope we can put the past behind us. Sounds li",90,Excellent,professional,polite,neutral,neutral,high,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/30/2000 01:32 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Mary, If we add both balances together the total is $1,140. I can spread it over",100,Excellent,professional,polite,neutral,neutral,low,0
address: http://ectpdx-sunone.ect.enron.com/~ctatham/navsetup/index.htm id: pall,75,Acceptable,professional,impolite,neutral,neutral,low,0
"Lucy, I am going to be in Seguin this Saturday through Monday. We can talk about",100,Excellent,professional,polite,neutral,neutral,medium,0
"Lucy, Did you get set up on the checking account? Try and email me every day wit",100,Excellent,professional,polite,neutral,neutral,low,0
This note is authorization to make the following changes: 1. Set up a new book f,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/25/2001 01:51 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/22/2000 11:43 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Jeff, I would consider owner financing depending on: Established developer/indiv",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/19/2000 10:46 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Dawn, I received your email with p&l's. Please continue to send them daily. Than",100,Excellent,professional,polite,neutral,neutral,low,0
No one will be home on 5/11/00 to meet DSL installers. Need to reschedule to the,100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/28/2000 09:02 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Laird, Did you meet with SWG on April 27th. Are there any other asset management",76,Acceptable,professional,impolite,neutral,neutral,low,0
"Kay & Neal, Thanks for remembering my birthday. You beat my parents by one day. ",80,Acceptable,professional,polite,passive_aggressive,neutral,medium,1
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/26/2000 08:40 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/26/2000 08:36 ,100,Excellent,professional,polite,neutral,neutral,low,0
Are there behind closed doors discussions being held prior to the meeting? Is th,100,Excellent,professional,polite,neutral,neutral,low,0
"Mary, I spoke to Gary about the foundation work on #2 & #3. He agreed that it wo",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/10/2000 02:09 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/06/2000 12:18 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Beth, Here are our addresses for DSL lines: Hunter Shively 10545 Gawain Houston,",100,Excellent,professional,polite,neutral,neutral,low,0
"mac, We will be there on the 9th and I will bring the paperwork. phillip",100,Excellent,professional,polite,neutral,neutral,low,0
"Mac, I checked into executing my options with Smith Barney. Bad news. Enron has ",100,Excellent,professional,polite,neutral,neutral,low,0
"Gary, Here is a photograph of a similar house. The dimensions would be 56'Wide X",100,Excellent,professional,polite,neutral,neutral,medium,0
"Jeff, Could we set up an inspection for this Friday at 2:00? Listing for Burnet ",100,Excellent,professional,polite,neutral,neutral,medium,0
"tara, Please grant access to manage financial products to the following: Janie T",100,Excellent,professional,polite,neutral,neutral,low,0
"Mary, Go ahead and work with Gary to get a new fridge for #8. I am going to try ",100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/24/2000 08:57 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Mark, Thank you for the offer, but I am not doing the ride this year. Good luck.",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/22/2000 01:46 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Stephane, Can you create an e-mail list to distribute your reports everyday to t",100,Excellent,professional,polite,neutral,neutral,low,0
http://ectpdx-sunone/~ctatham/navsetup/index.htm id pallen pw westgasx highly se,63,Needs Improvement,professional,impolite,neutral,sarcastic,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/21/2000 01:24 ,100,Excellent,professional,polite,neutral,neutral,low,0
Mary I was out of the office on friday. I will call you about wade later today P,100,Excellent,professional,polite,neutral,neutral,medium,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/16/2000 02:07 ,100,Excellent,professional,polite,neutral,neutral,low,0
"socal position This is short, but is it good enough?",100,Excellent,professional,polite,neutral,neutral,low,0
"David, I have been receiving your updates. Either I forgot my password or do not",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/14/2000 12:17 ,100,Excellent,professional,polite,neutral,neutral,low,0
re: window unit check with gary about what kind he wants to install,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/13/2000 05:33 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/13/2000 01:30 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Will, Here is a list of the top items we need to work on to improve the position",100,Excellent,professional,polite,neutral,neutral,medium,0
Let me know when you get the quotes from Pauline. I am expecting to pay somethin,96,Excellent,professional,polite,neutral,neutral,high,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/24/2001 02:23 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Steve, Please remove Bob Shiring and Liz Rivera from rc #768. Thank you Phillip ",100,Excellent,professional,polite,neutral,neutral,low,0
Go ahead and order the ac for #27. Can you email or fax a summary of all rents c,100,Excellent,professional,polite,neutral,neutral,low,0
Anymore details? Is the offer above or below 675? What else do you have in a cle,100,Excellent,professional,polite,neutral,neutral,low,0
$100 for the yard seems like enough for up to 12.5 hours. How long did it take h,100,Excellent,professional,polite,neutral,neutral,low,0
The file is updated and renamed as Gas Basis Mar 00.,75,Acceptable,professional,impolite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/03/2000 12:30 ,100,Excellent,professional,polite,neutral,neutral,low,0
It is ok to let the deposit rollover on #13 if there is no interruption in rent.,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/03/2000 08:36 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Imelda, Please switch my sitara access from central to west and email me with my",100,Excellent,professional,polite,neutral,neutral,low,0
"Frank, The implied risk created by the san juan and rockies indeces being partia",100,Excellent,professional,polite,neutral,neutral,medium,0
"Mary, I transferred $10,000 out of the checking account on Monday 2/28/00. I wil",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/21/2000 08:06 ,100,Excellent,professional,polite,neutral,neutral,low,0
"tara, I received your email about setting up Paul Lucci and Niccole Cortez with ",80,Acceptable,professional,polite,passive_aggressive,neutral,low,1
"mary, Are you sure you did the attachment right. There was no file attached to y",100,Excellent,professional,polite,neutral,neutral,low,0
"Mary, I got your email. Go ahead and get a carpet shampooer. Make sure it comes ",100,Excellent,professional,polite,neutral,neutral,medium,0
Should I appeal to Skilling. ---------------------- Forwarded by Phillip K Allen,76,Acceptable,professional,impolite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/11/2000 03:38 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/11/2000 12:31 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/09/2000 10:27 ,100,Excellent,professional,polite,neutral,neutral,low,0
I just spoke to the insurance company. They are going to cancel and prorate my p,100,Excellent,professional,polite,neutral,neutral,low,0
"George, Can you please call my credit desk at 713-853-1803. They have not receiv",100,Excellent,professional,polite,neutral,neutral,low,0
"Kim, Doublecheck with Julie G. , but I think it ok to pay Jan. demand charges.",75,Acceptable,professional,impolite,neutral,neutral,low,0
I think Steven Wolf is the person to talk to about moving Kim Olinger to a diffe,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/04/2000 05:08 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Jim, Updated curves will be sent no later than 11 am on Monday 2/7. I want Keith",93,Excellent,frustrated,polite,neutral,neutral,medium,0
"Tara, This note is documentation of my approval of granting executing id's to th",92,Excellent,professional,polite,neutral,sarcastic,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/24/2001 09:26 ,100,Excellent,professional,polite,neutral,neutral,low,0
"Julie, The numbers for January are below: Actual flows X gas daily spreads $ 463",100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 01/27/2000 04:44 ,100,Excellent,professional,polite,neutral,neutral,low,0
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 01/18/2000 06:03 ,100,Excellent,professional,polite,neutral,neutral,low,0
